article_id,n_events,n_nodes,n_edges,dominant_type,has_risk,has_subdomain,cluster_id,cluster_label,is_noise,context_120
698b35e042a8083a290c11c7,1,3,2,Event,1,1,47,français | mènent | mouvement,False,Portrait des six principaux candidats qui sont en lice pour remporter le fauteuil de maire de la cité phocéenne à l’issu
698b35e042a8083a290c11c5,4,9,6,Event,0,0,76,américain | évoqué | unis,False,"Des e-mails publiés par le département américain de la justice témoignent qu’entre 2011 et 2019, le financier a aussi s"
698b35e042a8083a290c11cc,6,19,13,Event,0,0,120,mardi | tenu | procureur,False,"Le procureur a tenu une conférence de presse, mardi, pour diffuser un appel à témoins dans le cadre de l’information ju"
698b35ea42a8083a290c11cf,5,12,9,Event,1,0,1,mardi | annoncé | président,False,"Par une série de nouvelles mesures techniques, le gouvernement simplifie l’acquisition de terres par des Juifs israélien"
698b35e042a8083a290c11c6,4,10,8,Event,0,0,-1,non-clustere,True,"Près de 6000 clients étaient sans électricité dans l’oblast de Zaporijia, selon le chef de l’administration militaire ré"
698b35e042a8083a290c11c9,4,10,7,Event,0,0,33,française | milan | jeux,False,"Les Jeux olympiques de Milan-Cortina se poursuivent, mardi, pour leur quatrième journée officielle de compétition. La dé"
698b35e042a8083a290c11c8,5,11,7,Event,0,0,35,américaine | français | lieu,False,"A la tête de l’Institut du monde arabe depuis 2013, l’ancien ministre de la culture, contraint de présenter sa démission"
698b35e042a8083a290c11cb,4,13,12,Event,1,1,96,13ans | montrant | rist,False,La compagnie aérienne Air Canada a suspendu lundi ses vols à destination de Cuba en raison d'une pénurie continue de car
698b35ed42a8083a290c11d1,8,13,13,Event,0,0,7,réussi | france | xv,False,"De nouveau plébiscités par les épargnants, ces placements ont renoué avec des rendements nets d’inflation positifs. Ils "
698b35ef42a8083a290c11d3,3,9,7,Event,1,1,136,accès | plusieurs | eu,False,Le dispositif mis en place en2022pour préserver le pouvoir d’achat des Français face à la flambée de l’énergie a eu des 
698b35ec42a8083a290c11d0,6,14,12,Event,0,1,0,président | mercredi | trump,False,"La plainte, qui doit être déposée mercredi au pôle santé publique du parquet de Paris, vise notamment des manq"
698b35ef42a8083a290c11d4,8,20,17,Event,1,0,100,donald | trump | jeudi,False,"Après le départ forcé de son directeur général dimanche 1février, le directeur financier fait l’objet depuis le 9fé"
698b35f242a8083a290c11d6,6,13,10,Event,0,0,-1,non-clustere,True,"Le ministre de la justice, en faveur de cette suppression, dit cependant ne pas avoir les moyens politiques pour changer"
698b35e042a8083a290c11ca,3,10,7,Event,1,1,136,accès | plusieurs | eu,False,"Plusieurs acteurs du secteur des télécoms en Europe redoutent une emprise des Etats-Unis sur le fabricant finlandais, do"
698b35f342a8083a290c11d7,3,6,5,Event,0,0,15,français | américain | jeux,False,"La propagation de Caenoplana variegata , un ver bicolore au mucus particulièrement collant et qui s’attaque aux prédateu"
698b35e942a8083a290c11ce,3,13,10,Event,0,0,133,relais | français | dimanche,False,"Le procès d'un adolescent de 15 ans pour le meurtre en octobre 2024 à Marseille d'un chauffeur de VTC, première affaire "
698b35f042a8083a290c11d5,5,13,11,Event,1,1,50,france | crues | mardi,False,"Un dispositif sécuritaire composé de policiers et de militaires fermait l’accès à la route menant à la prison, mardi en "
