event_id,type,score_if,score_local,score_final,niveau,explication,context
6995d73b6736db9dc26e5907,Thing/Abstract/Event/Unknown,0.9379,0.9291,0.9344,Critique,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Unknown'.,"La championne du monde de kayak, Nouria Newman, s'est élancée en amont du Saut du Doubs dimanche 15 février 2026 avant de plonger dans la cascade de 25 mètres de"
698c60e19966a5e0139f08f7,Thing/Abstract/Event/Pay,0.9436,0.8882,0.9214,Critique,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Pay'.,"La filiale Gares Connexions doit indemniser une société de l’empire Mulliez après avoir dénoncé, en2021, le contrat de concession qui les liait"
699dcf77ad1db2119a5fabd2,Thing/Abstract/Event/Killing,0.8976,0.8364,0.8731,Critique,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Killing'.,"sa en décembre. Il est installé dans l’ancienne maison de Papa Wemba, figure emblématique du genre, décédée en 2016."
698c67e69966a5e0139f08fb,Thing/Abstract/Event/Base,0.829,0.8491,0.837,Critique,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Base'.,"Après la pandémie de Covid-19, Victor Lugger a fondé une entreprise indépendante qui veut s’imposer comme le leader mondial des paiements par QR Code da"
69960d466736db9dc26e5a15,Thing/Abstract/Event/Get,0.9901,0.5984,0.8334,Critique,Combinaison inhabituelle de features (Isolation Forest).,ux éligibles à l'impôt sur la fortune immobilière ne paient aucun impôt sur le revenu. Ces chiffres obtenus via le ministère de l'Économie et des Finances confirment les déclarations en janvier dernie
6999404d6736db9dc26e63fe,Thing/Abstract/Event/Begin,0.8154,0.8491,0.8289,Critique,Nombre de noeuds inhabituel : 6. | Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Begin'.,"Plus en forme que jamais, l’acteur va notamment reprendre des morceaux de groupes mythiques comme Black Sabbath et Iron Maiden. Il est devenu, en2021, la per"
698dfadd34efc5d3aac0f702,Thing/Abstract/Event/Order,1.0,0.5604,0.8242,Critique,Combinaison inhabituelle de features (Isolation Forest).,"Donald Trump a ordonné mercredi à son ministère de la Défense de se fournir en électricité issue de centrales à charbon, u"
699c60556736db9dc26e6c1b,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,0.8322,0.8033,0.8207,Critique,Nombre de noeuds inhabituel : 6. | Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation'.,Yvan Gil Pinto a également confirmé l’ouverture d’un canal diplomatique avec Washington pour régler les différends qui les oppose.
6999404d6736db9dc26e6400,Thing/Abstract/Event/Addition,0.8587,0.7498,0.8151,Critique,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Addition'.,"e que jamais, l’acteur va notamment reprendre des morceaux de groupes mythiques comme Black Sabbath et Iron Maiden. Il est devenu, en2021, la personne la plus âgée à aller dans l’espace."
69958e916736db9dc26e5749,Thing/Abstract/Event/Unknown,0.851,0.757,0.8134,Critique,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Unknown'.,"Un homme est porté disparu depuis mardi soir après que son canoë a chaviré à Chalonnes-sur-Loire, annoncé le préfet du Maine-et-Loire, François Pesneau, mercredi matin, laiss"
6995cddd6736db9dc26e586e,Thing/Abstract/Event/Invite,0.8873,0.6981,0.8116,Critique,Combinaison inhabituelle de features (Isolation Forest).,La réalisatrice invite la star Angelina Jolie dans les coulisses de la fashion week et troque une satire du secteur contre
698b3cf18f03efde04a87c80,Thing/Abstract/Event/Stop,0.8532,0.7448,0.8098,Critique,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Stop'.,"Dès la fin des années 1950, le chanteur, guitariste et producteur fut l’un des principaux acteurs de ce style "
699ea4e1ad1db2119a5fae25,Thing/Abstract/Event/Occurrence,0.9387,0.5935,0.8007,Critique,Combinaison inhabituelle de features (Isolation Forest).,"L’actuel président du château de Versailles doit être nommé lors du conseil des ministres qui se tient mercredi matin. Il succède à Laurence des Cars qui a présenté sa démission mardi, déstabilisée ap"
69958e916736db9dc26e5748,Thing/Abstract/Event/Own,0.8236,0.7569,0.7969,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Own'.,"Un homme est porté disparu depuis mardi soir après que son canoë a chaviré à Chalonnes-sur-Loire, annoncé le préfet du Maine-et-Loire, François Pesneau, mercr"
699593426736db9dc26e5767,Thing/Abstract/Event/Search,0.8754,0.6782,0.7965,Suspect,Combinaison inhabituelle de features (Isolation Forest).,"Un couple a été arrêté, mercredi matin, dans le cadre de l'enquête sur la mort du militant nationaliste Quentin Deranque, a annoncé le procureur de Lyon. Ces deux nou"
699e2631ad1db2119a5fad29,Thing/Abstract/Event/Located,0.7873,0.8042,0.7941,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Located'.,"Parmi les communes, 63 sont situées dans le Lot-et-Garonne, 77 en Maine-et-Loire et 91 en Gironde, a détaillé le premier ministre."
698f3e9934efc5d3aac0fb3b,Thing/Abstract/Event/Embody,0.7454,0.8558,0.7896,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Embody'.,"À Barekuri, dans le nord-est de l’Inde, 21gibbons houlocks vivent au-dessus des habitations. Une cohabitation rare pour une espèce dont il ne resterait qu'environ 50"
69987da86736db9dc26e621c,Thing/Abstract/Event/Own,0.704,0.918,0.7896,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Own'.," Roga a choisi, en exclusivité, le plateau de Légendes Urbaines pour la remise du single platine de son titre ""Bokoko"" au plus de 67 millions de vues sur YouTube."
698f76f034efc5d3aac0fc76,Thing/Abstract/Event/Addition,0.6542,0.9919,0.7893,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Addition'.,"il depuis 2017, de six nouveaux volets, dont deux autour de deux figures méconnues, Muluken Melesse et Nersès Nalbandian."
699e2632ad1db2119a5fad2a,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,0.7975,0.7764,0.7891,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation'.,"armi les communes, 63 sont situées dans le Lot-et-Garonne, 77 en Maine-et-Loire et 91 en Gironde, a détaillé le premier ministre."
698b4d6b8f03efde04a87d1d,Thing/Abstract/Event/DiplomaticEvent/Gathering/DiplomaticGathering,0.7635,0.8269,0.7889,Suspect,Nombre de noeuds inhabituel : 7. | Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/DiplomaticEvent/Gathering/DiplomaticGathering'.,Le vice-président américain JD Vance est arrivé mardi en Azerbaïdjan en provenance de l'Arménie voisine pour une visite officielle destinée à conso
699e9474ad1db2119a5fade5,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,0.8441,0.7037,0.7879,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation'.,"es Shein, de 500 à 1000mètres carrés environ selon les villes, se fera de manière progressive , ont annoncé la marque de mode ultra-éphémère et la Société des grands magasins."
699ea4e1ad1db2119a5fae26,Thing/Abstract/Event/Unknown,0.8475,0.694,0.7861,Suspect,Combinaison inhabituelle de features (Isolation Forest).,"château de Versailles doit être nommé lors du conseil des ministres qui se tient mercredi matin. Il succède à Laurence des Cars qui a présenté sa démission mardi, déstabilisée après le vol de bijoux e"
6999d8c26736db9dc26e662e,Thing/Abstract/Event/Own,0.9151,0.5923,0.786,Suspect,Combinaison inhabituelle de features (Isolation Forest).,"Le Mauritanien de 35ans est décédé dans la nuit du 15 au 16janvier durant sa garde à vue, après avoir été interpellé au pied de son foyer de travailleurs. Sa famille dénonce de"
698b36008f03efde04a87a0d,Thing/Abstract/Event/Unknown,0.7321,0.8634,0.7846,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Unknown'.,"Rebaptisé quadball, le Quidditch d'Harry Potter a été introduit dans un village d'Ouganda par John Ssentamu, "
699620166736db9dc26e5a72,Thing/Abstract/Event/Give,0.7611,0.7951,0.7747,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Give'.,"dent américain, en référence à la base située dans l’archipel des Chago, territoire que Londre doit restituer à l’île Maurice."
698cac029966a5e0139f0b32,Thing/Abstract/Event/Complete,0.9026,0.5813,0.7741,Suspect,Combinaison inhabituelle de features (Isolation Forest).,"Ça ne fait rien du tout d’être vieille. Ce qui me fait le plus mal, c’est de ne pas voir. On ne peut pas lire,"
698dfadd34efc5d3aac0f703,Thing/Abstract/Event/Own,0.9131,0.5655,0.774,Suspect,Combinaison inhabituelle de features (Isolation Forest).,"Donald Trump a ordonné mercredi à son ministère de la Défense de se fournir en électricité issue de centrales à charbon, une nouvelle ten"
699d69736736db9dc26e6f22,Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation,0.811,0.7183,0.7739,Suspect,Contexte semantiquement isole parmi les events de type 'Thing/Abstract/Event/Transfer/TransferOfUnbiasedInformation'.,"eaux espaces Shein, de 500 à 1,000m2 environ selon les villes, se fera de manière progressive , ont annoncé la marque de mode ultra-éphémère et la Société des grands magasins."
